id,backers_count,category,goal,pledged,spotlight,state,blurb_length,goal_in_usd,campaign_duration,sub_category
8999,136,fashion,25000,25509.04,1,1,19,25000,30,apparel
8997,7,dance,2500,208,0,0,23,2500,30,performances
8996,31,design,20000,1601,0,0,23,20000,35,architecture
8995,19,dance,2500,2884,1,1,18,2500,12,performances
8994,11,crafts,10000,360,0,0,26,10000,35,woodworking
8993,217,fashion,350,8033,1,1,19,350,19,accessories
8992,143,design,2500,7841,1,1,13,2500,20,product design
8991,82,fashion,500,4172,1,1,10,500,8,accessories
8990,20,fashion,1200,1590,1,1,18,1200,36,apparel
8989,68,fashion,350,2144,1,1,20,350,30,accessories
8988,46,fashion,550,1170,1,1,22,550,32,accessories
8987,131,design,20000,17355,0,0,20,20000,30,interactive design
8986,163,crafts,30000,40425,1,1,21,30000,30,knitting
8985,46,fashion,350,1967.32,1,1,12,218.3,30,accessories
8984,1,design,2500,1,0,0,21,2500,25,civic design
8983,1870,design,10000,136888,1,1,9,10000,30,toys
8982,0,crafts,5000,0,0,0,20,5000,30,woodworking
8981,3,crafts,5000,275,0,0,22,5000,60,woodworking
8980,227,design,5000,29285,1,1,16,5000,30,product design
8979,35,design,1000,1150.55,1,1,18,771.38,30,civic design
8978,57,design,3800,3955,1,1,15,3800,21,typography
8977,64,dance,3245,4680,1,1,15,3245,26,performances
8976,435,fashion,850,14740,1,1,12,850,21,accessories
8975,9,design,12000,406,0,0,16,12000,30,architecture
8974,36,fashion,1000,2013,1,1,19,1000,30,apparel
8973,54,design,1250,1915,1,1,17,1250,45,product design
8972,10,fashion,1000,1009,1,1,10,1254.66,14,ready-to-wear
8971,1,crafts,425,7,0,0,24,713.1,25,glass
8970,0,crafts,15000,0,0,0,20,23160.37,40,woodworking
8969,17,crafts,4000,1101,0,0,13,5018.65,30,printing
8968,22,dance,1000,1051,1,1,21,1000,24,performances
8967,56,design,4000,6409.55,1,1,21,4000,35,product design
8965,20,dance,500,1025,1,1,14,500,30,performances
8964,46,design,5000,7526,1,1,11,6886.11,30,toys
8963,138,design,5000,6549,1,1,20,5000,22,product design
8962,1,dance,300,1,0,0,22,300,30,performances
8961,63,fashion,30000,32901.29,1,1,24,22781.55,31,accessories
8960,30,crafts,42000,11622,0,0,21,6043.85,45,printing
8959,363,design,35000,113656,1,1,3,35000,15,product design
8958,60,crafts,10000,16728,1,1,22,10993.02,35,woodworking
8957,3,crafts,20000,175,0,0,19,20000,60,woodworking
8956,12,crafts,170,1003,1,1,18,170,20,woodworking
8955,105,design,4000,5537.29,1,1,13,3197.83,30,product design
8954,59,fashion,200,1560,1,1,3,200,25,accessories
8953,1,crafts,325000,400,0,0,20,325000,30,woodworking
8952,74,fashion,200,2003,1,1,3,262.68,30,accessories
8949,30,fashion,400,555,1,1,21,400,30,accessories
8948,43,design,2500,2867,1,1,14,3969.85,30,architecture
8947,41,fashion,1000,1359,1,1,14,1000,19,accessories
8946,451,design,12000,57686,1,1,13,12000,5,product design
8945,95,dance,9500,9531,1,1,14,9500,30,performances
8944,104,design,600,5801.32,1,1,17,455.56,22,graphic design
8943,8,dance,2550,310,0,0,11,2550,30,performances
8942,43,fashion,200,969,1,1,14,200,30,accessories
8941,193,crafts,15000,23040,1,1,21,15000,30,pottery
8940,44,dance,30000,6261.32,0,0,24,21646.43,31,performances
8939,7,design,25000,405,0,0,16,25000,45,interactive design
8938,12,design,3000,966,0,0,18,3000,25,graphic design
8937,14,design,3000,390,0,0,22,3000,30,graphic design
8936,304,design,20000,31035,1,1,18,20000,29,interactive design
8935,77,crafts,12000,12045,1,1,8,12000,35,diy
8934,107,dance,8985,9210,1,1,18,8985,30,performances
8933,643,design,10000,109558,1,1,10,12408.98,30,product design
8931,76,design,500,3343,1,1,14,500,25,graphic design
8930,70,design,1250,2720,1,1,19,1250,30,graphic design
8929,1,crafts,1000,5,0,0,14,1000,30,woodworking
8928,2,crafts,26300,35,0,0,22,26300,9,woodworking
8926,118,fashion,500,6458,1,1,17,593.55,21,apparel
