,backers_count,category,goal,pledged,spotlight,state,blurb_length,goal_in_usd,campaign_duration,sub_category
0,63,comics,599.0,1942.0,1,1,5.0,599.0,23,graphic novels
1,132,comics,2000.0,3097.0,1,1,20.0,2000.0,30,graphic novels
2,6,crafts,500.0,211.0,0,0,5.0,500.0,30,diy
3,16,art,17000.0,1368.0,0,0,18.0,17000.0,45,painting
4,44,art,2500.0,2506.0,1,1,14.0,2500.0,60,performance art
5,4,crafts,1000.0,33.0,0,0,19.0,1000.0,30,diy
6,173,comics,4000.0,6371.0,1,1,13.0,4000.0,31,graphic novels
7,62,art,5000.0,6012.0,1,1,10.0,5000.0,34,public art
8,1931,comics,20000.0,119908.34,1,1,18.0,20000.0,32,webcomics
9,233,comics,4250.0,7172.0,1,1,8.0,4250.0,30,comic books
10,8,art,6400.0,305.0,0,0,17.0,9795.95,31,public art
11,41,art,3000.0,3503.0,1,1,6.0,3000.0,30,painting
12,1,art,4000.0,5.0,0,0,17.0,4000.0,88,performance art
13,35,comics,500.0,563.0,1,1,16.0,500.0,14,anthologies
14,747,comics,7500.0,43036.0,1,1,19.0,7500.0,25,graphic novels
15,44,comics,15000.0,11075.0,0,0,19.0,15000.0,30,webcomics
16,114,art,6000.0,7785.0,1,1,23.0,6000.0,30,public art
17,1,crafts,8000.0,1.0,0,0,21.0,6560.16,29,candles
18,2,art,5000.0,50.0,0,0,27.0,5000.0,30,sculpture
19,21,art,1500.0,1517.0,1,1,21.0,1500.0,22,public art
20,57,comics,500.0,925.04,1,1,25.0,398.7,14,comic books
21,188,art,15000.0,15396.0,1,1,19.0,15000.0,30,performance art
22,40,art,23000.0,1485.23,0,0,19.0,29373.11,30,public art
23,11,"crafts"",""position"":3,""color"":16744876,""urls"":{""web"":{""discover"":""http:",75.0,152.0,1,1,24.0,112.79,30,
24,2,art,900.0,2.0,0,0,8.0,1116.81,30,painting
25,22,art,500.0,500.0,1,1,25.0,500.0,27,public art
26,27,comics,750.0,765.0,1,1,21.0,750.0,28,graphic novels
27,33,"crafts"",""position"":3,""color"":16744876,""urls"":{""web"":{""discover"":""http:",50.0,370.0,1,1,7.0,40.76,30,
28,94,comics,4500.0,4709.0,1,1,25.0,4500.0,60,comic books
29,71,comics,2000.0,2079.0,1,1,23.0,2000.0,18,comic books
30,694,comics,12000.0,25768.0,1,1,11.0,12000.0,30,graphic novels
31,111,comics,2000.0,2370.0,1,1,8.0,2000.0,30,comic books
32,84,comics,1200.0,2038.0,1,1,19.0,1200.0,30,comic books
33,137,comics,10000.0,12255.0,1,1,23.0,10000.0,34,graphic novels
